Pond	sum
A1	427.845984462
A10	297.196170953
A11	428.194614489
A12	311.519638818
A2	289.390676775
A4	304.382624685
A6	427.014126697
A7	298.784723524
B12	303.311621264
B2	288.759907951
B4	299.323947439
B5	292.909888014
B8	304.907185746
B9	426.773394157
C1	293.467451169
C10	427.946181441
C12	309.155723097
C3	427.475366496
C6	299.472668401
C8	428.130605734
C9	307.526446197
D1	300.918544732
D10	295.482546809
D11	427.411307453
D12	427.732104274
D2	427.314710117
D5	297.513123451
D6	276.319358759
D7	427.800754827
D8	305.847819782
E1	427.939118658
E12	298.419634046
E3	291.565737815
E4	427.92313523
E6	301.858314214
E7	427.068953651
E8	303.270990449
F1	295.398355377
F11	302.840073051
F2	414.093660479
F3	427.574136503
F4	304.06699764
F5	282.164057851
F9	299.127909505
G12	427.45306068
G4	428.53923622
G6	280.563880573
G7	290.405379242
G8	291.352216061
G9	427.787265416
H1	287.869474302
H10	295.874769555
H11	415.097810366
H12	292.469373818
H2	274.915630784
H4	427.122095153
H6	292.84639921
H8	427.519915387
