Pond	mean
A1	15.3158888309091
A10	11.5393240652424
A11	15.3408971333333
A12	12.1170297932727
A2	10.8722240881818
A4	11.6241230579697
A6	15.2928920063636
A7	11.4012557758485
B12	11.7377463177879
B2	11.0142687066667
B4	11.4401519030606
B5	11.2678975400909
B8	11.7453885702727
B9	15.2889046045455
C1	11.2942376036061
C10	15.3181771309091
C12	12.0138957300606
C3	15.3035599842424
C6	11.4874977330909
C8	15.3328726878788
C9	11.6202981665152
D1	11.6210386844848
D10	11.0588324778182
D11	15.2911078460606
D12	15.3088944587879
D2	15.2976363163636
D5	11.5081862759697
D6	10.5284445724545
D7	15.3258974066667
D8	11.8511462103333
E1	15.3126833054545
E12	11.0098095589091
E3	11.0648291485152
E4	15.3145343754545
E6	11.6354446083636
E7	15.2915770978788
E8	11.7256774114242
F1	11.3623277588788
F11	11.7853423671515
F2	14.8792231948485
F3	15.3028005872727
F4	11.7618800394848
F5	10.5502106296364
F9	11.5899005703939
G12	15.3056442957576
G4	15.335343669697
G6	10.7818963786667
G7	11.2127355883636
G8	11.2810173937879
G9	15.1857879830303
H1	11.0839134907879
H10	11.3615017847273
H11	14.9872525939394
H12	11.319882951
H2	10.4103926872424
H4	15.2794762612121
H6	10.9338915737576
H8	15.3060246451515
